8	6718
10	157
10	8796
13	2990
25	5472
30	160
42	425
82	5630
94	2656
113	5548
122	6980
168	1304
172	647
196	6523
215	641
219	396
313	1563
477	3554
489	5133
515	7584
656	242
667	5001
682	5703
684	6322
688	1430
761	3156
781	6451
931	2546
1039	703
1256	1252
1290	6568
1344	4541
1406	13
1428	2833
1491	2678
1508	1019
1574	1028
1603	3789
1690	2544
1901	86
1914	5472
2032	101
2041	1817
2192	4406
2511	3539
2661	1582
2725	2522
2739	1680
2754	2740
2861	1502
2974	5688
3125	1314
3134	11
3243	7656
3286	4536
3375	3203
3441	1803
3441	5846
3491	879
3525	147
3546	1297
3752	499
3769	8950
3790	3995
3799	825
4026	4178
4404	1485
4453	847
4458	5278
4748	5002
5020	2737
5156	635
5234	5166
5246	5090
5373	7218
5509	8
5589	3211
5625	7250
5626	5785
5633	5169
5645	4534
5706	6446
5768	49
5898	4248
6250	2344
6251	88
6377	5084
6456	4222
6585	3135
6740	159
7041	8792
7071	4093
7539	1904
7540	5313
7647	9805
8351	5938
8595	44
8749	5157
8751	7580
8754	636
